texto;opcion1;opcion2;opcion3;opcion4;correcta
¿Cuál es el símbolo químico del agua?;O2;CO2;H2O;N2;H2O
¿Qué animal es el rey de la selva?;Tigre;León;Elefante;Gorila;León
¿Cuál es la moneda de Japón?;Euro;Dólar;Yen;Libra;Yen
¿Qué instrumento se usa para ver objetos muy pequeños?;Telescopio;Microscopio;Binoculares;Periscopio;Microscopio
¿Qué es un tsunami?;Un terremoto submarino;Una tormenta tropical;Un volcán;Un huracán;Un terremoto submarino
¿Cuál es la capital de Egipto?;El Cairo;Alejandría;Luxor;Asuán;El Cairo
¿Cuál es el gas que necesitan los seres vivos para respirar?;Dióxido de carbono;Nitrógeno;Oxígeno;Helio;Oxígeno
¿Qué país es conocido por la Torre Eiffel?;Italia;España;Francia;Alemania;Francia
¿Cuál es el deporte de combate más popular en Japón?;Judo;Boxeo;Taekwondo;Karate;Judo
¿Cuál es el animal terrestre más grande?;Elefante africano;Jirafa;Rinoceronte;Oso polar;Elefante africano
¿Qué metal es líquido a temperatura ambiente?;Hierro;Mercurio;Plata;Oro;Mercurio
¿Qué metal es el más abundante en la corteza terrestre?;Hierro;Oro;Aluminio;Cobre;Aluminio
¿Cuál es la ciudad más grande del mundo por población?;Nueva York;Tokio;Shanghái;Delhi;Tokio
¿Cuál es el deporte más popular del mundo?;Baloncesto;Fútbol;Tenis;Cricket;Fútbol
¿Cuál es la capital de China?;Tokio;Pekín;Seúl;Shanghái;Pekín
¿Qué país es famoso por sus pirámides?;China;Egipto;Grecia;Italia;Egipto
¿Qué vitamina se obtiene principalmente de la exposición al sol?;Vitamina A;Vitamina B;Vitamina C;Vitamina D;Vitamina D
"¿Quién escribió ""Cien años de soledad""?";Julio Cortázar;Gabriel García Márquez;Jorge Luis Borges;Isabel Allende;Gabriel García Márquez
¿Cuál es el océano más grande del mundo?;Atlántico;Índico;Ártico;Pacífico;Pacífico
¿Qué tipo de energía produce el Sol?;Eólica;Solar;Hidráulica;Geotérmica;Solar
¿Qué gas es esencial para la combustión?;Nitrógeno;Oxígeno;Dióxido de carbono;Argón;Oxígeno
¿Qué animal es el mamífero terrestre más grande?;Elefante africano;Ballena azul;Rinoceronte;Hipopótamo;Elefante africano
¿Cuántos huesos tiene el cuerpo humano adulto?;206;106;306;406;206
¿Cuál es la capital de Rusia?;Kiev;Moscú;San Petersburgo;Varsovia;Moscú
¿Qué país es famoso por sus fiordos?;España;Italia;Noruega;Grecia;Noruega
¿Cuál es el deporte nacional de Canadá?;Fútbol;Baloncesto;Hockey sobre hielo;Béisbol;Hockey sobre hielo
"¿Quién escribió ""Romeo y Julieta""?";Charles Dickens;William Shakespeare;Jane Austen;Leo Tolstói;William Shakespeare
¿Cuál es la capital de Francia?;Berlín;Londres;París;Roma;París
"¿Quién compuso ""Las cuatro estaciones""?";Beethoven;Mozart;Vivaldi;Bach;Vivaldi
